"filename", "language", "Markdown", "JSON", "HTML", "JavaScript", "TypeScript", "JSON with Comments", "TypeScript JSX", "CSS", "XML", "comment", "blank", "total"
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\api\package-lock.json", "JSON", 0, 10035, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10036
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\api\package.json", "JSON", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 1, 59
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\api\src\Automation\createAccount.ts", "TypeScript", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 3, 21
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\api\src\Automation\createProduct.ts", "TypeScript", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 2, 28
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\api\src\Automation\createReview.ts", "TypeScript", 0, 0, 0, 0, 27, 0, 0, 0, 0, 1, 4, 32
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\api\src\Automation\getRandomUser.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 4, 19
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\api\src\Automation\index.ts", "TypeScript", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 4, 46
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\api\src\Controllers\Auth.ts", "TypeScript", 0, 0, 0, 0, 84, 0, 0, 0, 0, 33, 9, 126
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\api\src\Controllers\Cart.ts", "TypeScript", 0, 0, 0, 0, 78, 0, 0, 0, 0, 15, 10, 103
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\api\src\Controllers\Order.ts", "TypeScript", 0, 0, 0, 0, 78, 0, 0, 0, 0, 19, 6, 103
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\api\src\Controllers\Product.ts", "TypeScript", 0, 0, 0, 0, 182, 0, 0, 0, 0, 47, 21, 250
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\api\src\Controllers\Review.ts", "TypeScript", 0, 0, 0, 0, 44, 0, 0, 0, 0, 9, 2, 55
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\api\src\Controllers\User.ts", "TypeScript", 0, 0, 0, 0, 70, 0, 0, 0, 0, 1, 8, 79
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\api\src\Controllers\index.ts", "TypeScript", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\api\src\Errors\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\api\src\Middlewares\Authorization.ts", "TypeScript", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 4, 39
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\api\src\Middlewares\index.ts", "TypeScript", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\api\src\Models\Cart.ts", "TypeScript", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 4, 43
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\api\src\Models\Order.ts", "TypeScript", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 1, 39
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\api\src\Models\Product.ts", "TypeScript", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 1, 55
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\api\src\Models\Review.ts", "TypeScript", 0, 0, 0, 0, 70, 0, 0, 0, 0, 2, 2, 74
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\api\src\Models\User.ts", "TypeScript", 0, 0, 0, 0, 55, 0, 0, 0, 0, 7, 3, 65
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\api\src\Models\index.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\api\src\Routers\Auth.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\api\src\Routers\Cart.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\api\src\Routers\Order.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\api\src\Routers\Product.ts", "TypeScript", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 1, 24
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\api\src\Routers\Review.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 18
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\api\src\Routers\User.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 1, 20
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\api\src\Routers\index.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 15
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\api\src\Types\ICart.d.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 3, 20
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\api\src\Types\IProduct.d.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 1, 2, 16
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\api\src\Types\IReview.d.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 1, 4, 21
"c:\Users\Viktor\Desktop\Programming\NodeJS\automated-e-commerce\api\src\Types\IUser.d.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 3, 22
